infrastructure_key,road_quality,access_to_water,access_to_electricity,mobile_network_coverage,internet_coverage
8940,Fair,Limited,Partial Access,2G,Limited Access
8941,Fair,Moderate,No Access,5G,Full Access
8942,Excellent,High,Partial Access,4G,Limited Access
8943,Fair,High,No Access,5G,Full Access
8944,Good,High,Full Access,5G,No Access
8945,Fair,Limited,No Access,5G,No Access
8946,Poor,Limited,Partial Access,2G,No Access
8947,Good,Moderate,No Access,4G,No Access
8948,Excellent,Limited,Partial Access,2G,No Access
8949,Good,Moderate,Full Access,4G,No Access
8950,Excellent,Limited,Partial Access,5G,No Access
8951,Excellent,Moderate,Full Access,4G,Full Access
8952,Poor,Moderate,Full Access,3G,Limited Access
8953,Excellent,Moderate,No Access,4G,No Access
8954,Excellent,Moderate,Partial Access,3G,No Access
8955,Poor,Moderate,No Access,3G,Full Access
8956,Fair,High,Partial Access,2G,No Access
8957,Excellent,Moderate,Full Access,4G,No Access
8958,Good,Moderate,No Access,5G,Limited Access
8959,Good,High,No Access,5G,No Access
8960,Poor,Limited,Full Access,3G,Full Access
8961,Poor,High,No Access,3G,Limited Access
8962,Fair,Moderate,Full Access,5G,Full Access
8963,Poor,Limited,Partial Access,3G,No Access
8964,Good,High,Partial Access,2G,No Access
8965,Excellent,Limited,Partial Access,5G,No Access
8966,Fair,High,No Access,3G,No Access
8967,Good,Limited,Full Access,3G,No Access
8968,Fair,Moderate,No Access,5G,No Access
8969,Fair,Moderate,Partial Access,2G,Limited Access
8970,Fair,High,No Access,5G,Full Access
8971,Good,Moderate,No Access,3G,No Access
8972,Excellent,High,Full Access,4G,Limited Access
8973,Poor,High,No Access,4G,Full Access
8974,Excellent,Limited,Partial Access,5G,Full Access
8975,Fair,Moderate,Full Access,5G,No Access
8976,Poor,Moderate,No Access,4G,No Access
8977,Excellent,Moderate,No Access,4G,Limited Access
8978,Excellent,High,Full Access,2G,Limited Access
8979,Excellent,Moderate,Partial Access,2G,No Access
8980,Excellent,Moderate,No Access,5G,Full Access
8981,Poor,High,No Access,4G,Full Access
8982,Fair,Limited,Partial Access,3G,No Access
8983,Poor,Limited,Full Access,5G,Limited Access
8984,Fair,Moderate,Full Access,4G,No Access
8985,Fair,High,Full Access,5G,Full Access
8986,Good,Limited,Partial Access,3G,No Access
8987,Good,Limited,Partial Access,5G,Full Access
8988,Poor,High,No Access,2G,No Access
8989,Good,Limited,Partial Access,4G,Limited Access
8990,Poor,Moderate,Partial Access,4G,Limited Access
8991,Fair,High,Full Access,3G,Full Access
8992,Excellent,Moderate,Partial Access,2G,Full Access
8993,Poor,Moderate,Full Access,5G,Full Access
8994,Excellent,Moderate,Full Access,5G,Full Access
8995,Excellent,High,No Access,4G,Limited Access
8996,Good,Moderate,Full Access,2G,Full Access
8997,Good,Moderate,Full Access,4G,No Access
8998,Poor,High,No Access,3G,Limited Access
8999,Poor,High,Partial Access,4G,No Access
9000,Good,Moderate,Full Access,4G,No Access
9001,Excellent,Limited,No Access,4G,Limited Access
9002,Fair,Limited,Partial Access,5G,Full Access
9003,Fair,Moderate,Partial Access,5G,Full Access
9004,Good,Limited,No Access,2G,No Access
9005,Good,High,Full Access,2G,Full Access
9006,Poor,Limited,Full Access,5G,Full Access
9007,Poor,High,Full Access,5G,No Access
9008,Excellent,Limited,Full Access,2G,Full Access
9009,Poor,Moderate,Full Access,5G,Full Access
9010,Good,Limited,No Access,3G,No Access
9011,Good,Moderate,No Access,3G,No Access
9012,Fair,Limited,Partial Access,2G,No Access
9013,Excellent,High,Partial Access,3G,Full Access
9014,Poor,Moderate,No Access,4G,Limited Access
9015,Good,Limited,No Access,3G,No Access
9016,Excellent,Moderate,Partial Access,2G,Full Access
9017,Poor,Moderate,Full Access,3G,Limited Access
9018,Good,Limited,No Access,3G,No Access
9019,Excellent,High,Full Access,2G,No Access
9020,Good,Limited,No Access,3G,Limited Access
9021,Excellent,Moderate,Full Access,5G,Limited Access
9022,Poor,Limited,No Access,3G,Full Access
9023,Excellent,Limited,No Access,4G,No Access
9024,Fair,High,Partial Access,5G,No Access
9025,Poor,Moderate,No Access,4G,Limited Access
9026,Fair,Moderate,Partial Access,3G,No Access
9027,Excellent,Limited,Partial Access,3G,No Access
9028,Poor,Limited,No Access,5G,Limited Access
9029,Good,Moderate,No Access,3G,Full Access
9030,Fair,Limited,Full Access,4G,Limited Access
9031,Fair,Moderate,Partial Access,4G,Full Access
9032,Good,Limited,Full Access,4G,Full Access
9033,Good,High,Partial Access,3G,No Access
9034,Fair,Limited,Full Access,2G,Full Access
9035,Fair,Moderate,Full Access,4G,No Access
9036,Good,High,No Access,3G,Full Access
9037,Fair,Moderate,No Access,3G,No Access
9038,Poor,Moderate,Partial Access,3G,No Access
9039,Fair,Limited,Full Access,2G,Limited Access
9040,Excellent,High,Partial Access,2G,No Access
9041,Excellent,High,No Access,2G,Full Access
9042,Fair,High,Full Access,5G,Limited Access
9043,Fair,Moderate,No Access,5G,Limited Access
9044,Poor,Moderate,Partial Access,4G,Limited Access
9045,Poor,Moderate,No Access,2G,Full Access
9046,Fair,Moderate,No Access,4G,Full Access
9047,Poor,Limited,Full Access,4G,No Access
9048,Good,High,No Access,2G,Limited Access
9049,Fair,High,Full Access,4G,Limited Access
9050,Poor,High,No Access,4G,No Access
9051,Good,Moderate,No Access,2G,Full Access
9052,Excellent,Limited,No Access,3G,Full Access
9053,Good,Moderate,No Access,4G,Limited Access
9054,Good,Moderate,No Access,5G,No Access
9055,Poor,High,Partial Access,5G,Full Access
9056,Fair,Moderate,Full Access,2G,Limited Access
9057,Good,Moderate,Partial Access,2G,No Access
9058,Good,Limited,Partial Access,2G,Full Access
9059,Poor,High,No Access,4G,No Access
9060,Good,High,No Access,5G,Limited Access
9061,Good,High,Full Access,3G,Full Access
9062,Excellent,Moderate,Partial Access,2G,Limited Access
9063,Good,High,Partial Access,4G,Limited Access
9064,Good,High,Full Access,3G,No Access
9065,Poor,High,Partial Access,5G,No Access
9066,Excellent,High,Full Access,5G,No Access
9067,Good,High,Full Access,2G,No Access
9068,Fair,Limited,Full Access,2G,No Access
9069,Good,High,No Access,4G,No Access
9070,Poor,Limited,Full Access,3G,No Access
9071,Good,Limited,Partial Access,3G,Limited Access
9072,Good,Moderate,Full Access,2G,No Access
9073,Good,High,Full Access,4G,Limited Access
9074,Fair,Limited,No Access,4G,Limited Access
9075,Poor,High,Full Access,5G,Full Access
9076,Good,Limited,No Access,3G,Full Access
9077,Good,Limited,No Access,4G,Full Access
9078,Good,Moderate,Partial Access,4G,Full Access
9079,Good,High,No Access,3G,Full Access
9080,Good,Limited,Full Access,2G,Full Access
9081,Poor,Moderate,No Access,2G,Limited Access
9082,Fair,High,No Access,2G,No Access
9083,Fair,High,Partial Access,2G,Limited Access
9084,Poor,High,Full Access,5G,Limited Access
9085,Poor,High,Full Access,3G,Full Access
9086,Excellent,High,Partial Access,2G,Full Access
9087,Good,Moderate,Full Access,5G,Limited Access
9088,Good,High,Full Access,5G,Limited Access
9089,Good,Moderate,Full Access,2G,No Access
9090,Fair,High,No Access,4G,No Access
9091,Fair,Moderate,No Access,5G,No Access
9092,Fair,Limited,Partial Access,5G,No Access
9093,Fair,Moderate,Full Access,3G,Limited Access
9094,Good,Moderate,Partial Access,5G,No Access
9095,Excellent,Limited,No Access,4G,Full Access
9096,Good,Limited,No Access,3G,Limited Access
9097,Fair,Limited,Partial Access,3G,Full Access
9098,Excellent,Moderate,No Access,3G,Limited Access
9099,Excellent,Moderate,Partial Access,4G,Limited Access
9100,Fair,Moderate,Partial Access,5G,Limited Access
9101,Poor,High,No Access,4G,No Access
9102,Good,Moderate,Full Access,5G,Limited Access
9103,Good,Moderate,Full Access,3G,Limited Access
9104,Good,Limited,Partial Access,3G,Full Access
9105,Poor,Limited,No Access,4G,Full Access
9106,Good,Moderate,No Access,5G,Limited Access
9107,Excellent,Limited,No Access,2G,Full Access
9108,Excellent,Limited,Partial Access,2G,No Access
9109,Good,Moderate,Partial Access,3G,Limited Access
9110,Poor,Moderate,No Access,4G,Full Access
9111,Excellent,Moderate,Partial Access,4G,No Access
9112,Fair,High,Full Access,3G,Full Access
9113,Fair,Limited,Full Access,5G,No Access
9114,Poor,High,Full Access,3G,Full Access
9115,Poor,High,Full Access,3G,Limited Access
9116,Good,Limited,No Access,4G,No Access
9117,Fair,High,Partial Access,5G,No Access
9118,Good,High,No Access,3G,No Access
9119,Poor,High,No Access,5G,Full Access
9120,Fair,Limited,No Access,5G,No Access
9121,Poor,Moderate,Full Access,2G,Limited Access
9122,Poor,Moderate,Partial Access,5G,No Access
9123,Good,High,Partial Access,3G,Full Access
9124,Excellent,Limited,Full Access,5G,Full Access
9125,Fair,Moderate,Partial Access,2G,Full Access
9126,Fair,Moderate,Full Access,5G,No Access
9127,Poor,High,Full Access,3G,Limited Access
9128,Poor,Moderate,Partial Access,3G,No Access
9129,Excellent,Moderate,Full Access,3G,Full Access
9130,Excellent,High,Full Access,2G,Limited Access
9131,Good,Limited,No Access,5G,No Access
9132,Good,High,Full Access,5G,Full Access
9133,Excellent,Limited,Partial Access,4G,Limited Access
9134,Fair,Limited,Full Access,2G,Limited Access
9135,Excellent,Moderate,Partial Access,5G,No Access
9136,Fair,Limited,No Access,3G,No Access
9137,Poor,Limited,Partial Access,5G,Limited Access
9138,Poor,High,No Access,4G,Full Access
9139,Good,Moderate,Partial Access,4G,Full Access
9140,Fair,High,No Access,2G,No Access
9141,Fair,High,No Access,3G,No Access
9142,Good,Limited,No Access,4G,No Access
9143,Poor,High,Partial Access,4G,No Access
9144,Poor,Limited,Full Access,5G,Limited Access
9145,Good,Limited,No Access,5G,No Access
9146,Excellent,High,Full Access,4G,No Access
9147,Good,Moderate,Partial Access,3G,No Access
9148,Poor,Limited,Full Access,3G,No Access
9149,Excellent,High,Full Access,5G,Full Access
9150,Good,High,Partial Access,4G,No Access
9151,Good,High,Partial Access,3G,No Access
9152,Excellent,Limited,Partial Access,3G,Full Access
9153,Good,Moderate,Partial Access,5G,Full Access
9154,Poor,High,Full Access,5G,Limited Access
9155,Good,Limited,Full Access,2G,Full Access
9156,Excellent,Limited,Partial Access,2G,No Access
9157,Excellent,Moderate,No Access,2G,Full Access
9158,Fair,High,No Access,3G,No Access
9159,Good,High,Partial Access,4G,Full Access
9160,Fair,Limited,Partial Access,5G,No Access
9161,Fair,Limited,Full Access,3G,Limited Access
9162,Excellent,High,Full Access,5G,Full Access
9163,Fair,High,Partial Access,5G,No Access
9164,Good,High,No Access,5G,No Access
9165,Excellent,High,Full Access,2G,No Access
9166,Excellent,Moderate,Partial Access,4G,No Access
9167,Good,High,Partial Access,5G,Limited Access
9168,Poor,High,No Access,5G,No Access
9169,Excellent,Moderate,Partial Access,3G,No Access
9170,Poor,Limited,Partial Access,3G,Limited Access
9171,Excellent,Limited,No Access,5G,Limited Access
9172,Good,High,Partial Access,5G,Full Access
9173,Excellent,Limited,No Access,4G,No Access
9174,Excellent,Moderate,No Access,4G,Limited Access
9175,Good,Limited,No Access,2G,Full Access
9176,Excellent,High,Full Access,4G,No Access
9177,Excellent,Limited,Partial Access,4G,No Access
9178,Good,High,Full Access,4G,No Access
9179,Poor,High,No Access,2G,Full Access
9180,Excellent,High,Partial Access,3G,Full Access
9181,Fair,Limited,Partial Access,4G,No Access
9182,Fair,Moderate,No Access,4G,Limited Access
9183,Excellent,Moderate,Full Access,2G,No Access
9184,Good,Limited,Full Access,3G,No Access
9185,Good,Moderate,No Access,5G,Limited Access
9186,Excellent,High,No Access,3G,Limited Access
9187,Poor,Limited,Full Access,4G,No Access
9188,Excellent,Limited,Full Access,4G,Full Access
9189,Poor,Moderate,Full Access,4G,Limited Access
9190,Poor,Moderate,No Access,4G,No Access
9191,Poor,Limited,Partial Access,4G,Full Access
9192,Excellent,Limited,Partial Access,5G,Limited Access
9193,Excellent,Moderate,Partial Access,3G,Full Access
9194,Excellent,Limited,No Access,5G,No Access
9195,Excellent,Moderate,Full Access,2G,Limited Access
9196,Fair,Moderate,Partial Access,3G,No Access
9197,Fair,High,No Access,5G,No Access
9198,Good,Limited,Partial Access,2G,Limited Access
9199,Excellent,Limited,Full Access,3G,Full Access
9200,Fair,High,Partial Access,2G,No Access
9201,Fair,Limited,Full Access,2G,Limited Access
9202,Good,Moderate,No Access,4G,Full Access
9203,Good,High,Partial Access,4G,Limited Access
9204,Fair,Moderate,Partial Access,3G,No Access
9205,Excellent,Limited,Partial Access,3G,Full Access
9206,Fair,Moderate,Full Access,3G,Full Access
9207,Good,Limited,Full Access,4G,No Access
9208,Poor,Limited,Full Access,5G,Limited Access
9209,Good,Limited,Partial Access,5G,Limited Access
9210,Excellent,Limited,Partial Access,4G,No Access
9211,Fair,High,No Access,2G,No Access
9212,Fair,High,Partial Access,4G,Limited Access
9213,Excellent,Moderate,No Access,3G,Limited Access
9214,Good,Moderate,Partial Access,4G,Limited Access
9215,Excellent,High,Full Access,5G,Full Access
9216,Excellent,Moderate,Full Access,3G,Full Access
9217,Good,Limited,Partial Access,2G,Full Access
9218,Poor,High,Partial Access,2G,Limited Access
9219,Excellent,Limited,Full Access,2G,No Access
9220,Fair,High,No Access,2G,Limited Access
9221,Fair,High,No Access,2G,No Access
9222,Fair,Moderate,No Access,3G,Full Access
9223,Excellent,High,No Access,2G,Limited Access
9224,Poor,High,Full Access,2G,Limited Access
9225,Poor,Limited,No Access,5G,No Access
9226,Poor,Limited,Full Access,4G,Full Access
9227,Excellent,High,Full Access,2G,Full Access
9228,Excellent,Moderate,Full Access,3G,No Access
9229,Excellent,Limited,Partial Access,5G,Limited Access
9230,Excellent,High,No Access,2G,Limited Access
9231,Poor,High,Full Access,2G,Full Access
9232,Good,Moderate,Partial Access,2G,Limited Access
9233,Fair,Limited,Full Access,2G,No Access
9234,Good,Limited,Partial Access,3G,No Access
9235,Good,Limited,Full Access,2G,No Access
9236,Poor,Moderate,No Access,3G,Full Access
9237,Fair,Moderate,Full Access,2G,Full Access
9238,Good,High,Partial Access,5G,Limited Access
9239,Poor,Moderate,Partial Access,3G,Full Access
9240,Excellent,Limited,No Access,4G,No Access
9241,Good,High,Full Access,4G,Limited Access
9242,Good,Limited,Full Access,5G,Limited Access
9243,Poor,Moderate,No Access,4G,Limited Access
9244,Excellent,High,Full Access,5G,Limited Access
9245,Poor,Limited,Partial Access,3G,Limited Access
9246,Good,High,Full Access,3G,Limited Access
9247,Excellent,Limited,No Access,5G,Full Access
9248,Good,Limited,Partial Access,5G,Full Access
9249,Excellent,High,No Access,4G,Limited Access
9250,Excellent,Limited,Partial Access,2G,Full Access
9251,Poor,Limited,No Access,5G,Full Access
9252,Good,High,No Access,5G,No Access
9253,Excellent,Moderate,Full Access,3G,Limited Access
9254,Excellent,Limited,Full Access,5G,Full Access
9255,Good,Limited,Partial Access,3G,Limited Access
9256,Excellent,Limited,No Access,2G,Full Access
9257,Poor,Moderate,Partial Access,5G,No Access
9258,Fair,High,No Access,3G,No Access
9259,Excellent,High,No Access,4G,Full Access
9260,Fair,High,No Access,4G,Full Access
9261,Fair,Limited,No Access,4G,Full Access
9262,Good,Limited,Full Access,4G,Limited Access
9263,Fair,High,No Access,4G,Limited Access
9264,Excellent,Limited,No Access,5G,Limited Access
9265,Excellent,Limited,Full Access,2G,No Access
9266,Fair,Moderate,No Access,5G,Full Access
9267,Fair,High,No Access,2G,No Access
9268,Excellent,Limited,Full Access,5G,Full Access
9269,Poor,Limited,No Access,2G,No Access
9270,Fair,Limited,No Access,4G,No Access
9271,Poor,Limited,No Access,4G,Limited Access
9272,Excellent,Moderate,No Access,2G,Limited Access
9273,Fair,Moderate,Partial Access,5G,Limited Access
9274,Excellent,High,No Access,2G,Full Access
9275,Excellent,High,No Access,3G,No Access
9276,Good,Limited,Full Access,5G,Full Access
9277,Excellent,Moderate,Full Access,2G,Full Access
9278,Excellent,High,Full Access,2G,Full Access
9279,Excellent,High,Partial Access,2G,No Access
9280,Fair,High,Full Access,5G,Limited Access
9281,Poor,Moderate,Partial Access,5G,Limited Access
9282,Excellent,High,Full Access,3G,Full Access
9283,Poor,Moderate,Partial Access,2G,No Access
9284,Excellent,Moderate,Partial Access,4G,Limited Access
9285,Fair,Moderate,Partial Access,5G,No Access
9286,Excellent,High,Full Access,3G,No Access
9287,Excellent,Limited,Partial Access,2G,Full Access
9288,Fair,Limited,Partial Access,4G,No Access
9289,Fair,High,No Access,4G,Limited Access
9290,Excellent,High,Partial Access,2G,No Access
9291,Good,High,Full Access,3G,Limited Access
9292,Excellent,High,Full Access,3G,No Access
9293,Excellent,Limited,No Access,2G,No Access
9294,Poor,Limited,Partial Access,4G,No Access
9295,Good,Limited,Full Access,3G,Limited Access
9296,Excellent,High,No Access,3G,Full Access
9297,Excellent,Moderate,Full Access,4G,Limited Access
9298,Excellent,High,No Access,3G,Limited Access
9299,Good,High,No Access,4G,Full Access
9300,Excellent,High,No Access,3G,No Access
9301,Poor,Limited,No Access,3G,No Access
9302,Excellent,High,Full Access,3G,Full Access
9303,Good,High,No Access,2G,Limited Access
9304,Poor,Moderate,Partial Access,2G,Full Access
9305,Fair,Moderate,No Access,3G,No Access
9306,Fair,Moderate,Full Access,5G,Full Access
9307,Excellent,Moderate,Full Access,4G,No Access
9308,Poor,High,Partial Access,3G,Limited Access
9309,Fair,Moderate,No Access,2G,Limited Access
9310,Fair,Moderate,Partial Access,2G,No Access
9311,Good,Limited,Partial Access,2G,Limited Access
9312,Good,Limited,Full Access,2G,Full Access
9313,Good,Moderate,No Access,2G,Full Access
9314,Excellent,High,Partial Access,3G,Limited Access
9315,Fair,High,No Access,4G,Full Access
9316,Good,Limited,Partial Access,2G,No Access
9317,Good,High,Full Access,2G,Limited Access
9318,Poor,Limited,Partial Access,5G,No Access
9319,Excellent,Moderate,Full Access,3G,Full Access
9320,Excellent,High,Full Access,3G,Limited Access
9321,Good,Moderate,Partial Access,4G,Full Access
9322,Fair,High,Partial Access,4G,No Access
9323,Excellent,Moderate,Full Access,5G,No Access
9324,Poor,Limited,Full Access,5G,No Access
9325,Good,Moderate,Partial Access,5G,No Access
9326,Poor,Limited,Full Access,4G,Full Access
9327,Poor,Limited,Partial Access,3G,Limited Access
9328,Good,High,Partial Access,5G,No Access
9329,Excellent,Limited,No Access,2G,Limited Access
9330,Poor,High,Full Access,3G,Limited Access
9331,Fair,High,No Access,5G,No Access
9332,Fair,Limited,Full Access,2G,No Access
9333,Poor,Limited,No Access,4G,Full Access
9334,Excellent,Limited,No Access,4G,Limited Access
9335,Poor,High,Partial Access,3G,Full Access
9336,Fair,Moderate,Partial Access,3G,Full Access
9337,Fair,Limited,No Access,3G,No Access
9338,Poor,Limited,Full Access,2G,Limited Access
9339,Good,Moderate,Full Access,5G,No Access
9340,Excellent,Limited,Full Access,2G,No Access
9341,Excellent,Moderate,No Access,4G,Limited Access
9342,Excellent,High,Partial Access,2G,Limited Access
9343,Poor,Moderate,No Access,2G,Limited Access
9344,Good,Limited,Full Access,5G,No Access
9345,Fair,Moderate,No Access,2G,Full Access
9346,Fair,Limited,No Access,2G,No Access
9347,Poor,Moderate,No Access,2G,Limited Access
9348,Good,Limited,Partial Access,4G,Limited Access
9349,Poor,Limited,Full Access,2G,Limited Access
9350,Fair,Limited,No Access,5G,Full Access
9351,Excellent,High,Partial Access,5G,Full Access
9352,Poor,Moderate,No Access,2G,No Access
9353,Excellent,Limited,Full Access,5G,Limited Access
9354,Excellent,Limited,Full Access,4G,No Access
9355,Fair,Moderate,Partial Access,4G,No Access
9356,Good,Limited,No Access,3G,Limited Access
9357,Good,High,No Access,4G,Limited Access
9358,Excellent,High,Partial Access,5G,Limited Access
9359,Poor,Moderate,No Access,3G,Full Access
9360,Poor,High,Full Access,2G,Full Access
9361,Poor,Moderate,Partial Access,5G,Full Access
9362,Fair,Moderate,Partial Access,3G,Full Access
9363,Poor,High,Partial Access,2G,Full Access
9364,Excellent,Moderate,Partial Access,4G,Full Access
9365,Good,High,Partial Access,4G,Limited Access
9366,Excellent,Limited,No Access,4G,Limited Access
9367,Fair,Moderate,Full Access,2G,Limited Access
9368,Poor,Limited,Full Access,4G,No Access
9369,Good,Moderate,Full Access,5G,No Access
9370,Poor,Limited,Full Access,4G,Full Access
9371,Good,Limited,No Access,3G,Limited Access
9372,Good,Limited,No Access,2G,No Access
9373,Poor,Moderate,Full Access,3G,Full Access
9374,Excellent,High,Partial Access,4G,Limited Access
9375,Poor,High,No Access,4G,Limited Access
9376,Excellent,Limited,No Access,5G,No Access
9377,Excellent,Moderate,Partial Access,4G,Full Access
9378,Poor,Limited,Full Access,3G,No Access
9379,Fair,Limited,Partial Access,4G,Full Access
9380,Poor,Moderate,Full Access,4G,No Access
9381,Excellent,Limited,Full Access,3G,No Access
9382,Fair,Limited,Full Access,4G,Full Access
9383,Good,Limited,Partial Access,3G,Limited Access
9384,Good,Moderate,Full Access,3G,Limited Access
9385,Good,High,No Access,4G,No Access
9386,Fair,High,Full Access,3G,Limited Access
9387,Excellent,Limited,Full Access,2G,Limited Access
9388,Poor,Moderate,Full Access,2G,Limited Access
9389,Poor,Limited,Partial Access,4G,Full Access
9390,Good,High,Full Access,3G,Full Access
9391,Poor,High,Partial Access,4G,No Access
9392,Poor,Moderate,Full Access,4G,Full Access
9393,Good,Limited,No Access,3G,No Access
9394,Excellent,Limited,Partial Access,3G,Full Access
9395,Good,Limited,Full Access,2G,Full Access
9396,Excellent,High,No Access,3G,Full Access
9397,Good,Moderate,Partial Access,5G,No Access
9398,Good,High,Partial Access,2G,Limited Access
9399,Poor,Limited,No Access,5G,Full Access
9400,Fair,Limited,Partial Access,5G,Full Access
9401,Good,High,No Access,3G,Limited Access
9402,Fair,High,No Access,3G,Full Access
9403,Excellent,Moderate,Full Access,4G,Limited Access
9404,Poor,Moderate,Full Access,4G,Limited Access
9405,Fair,Limited,Full Access,2G,Limited Access
9406,Fair,Limited,No Access,4G,Limited Access
9407,Excellent,Limited,Partial Access,5G,Limited Access
9408,Fair,Limited,Partial Access,3G,No Access
9409,Good,High,No Access,3G,Limited Access
9410,Good,Limited,No Access,3G,No Access
9411,Good,High,Partial Access,5G,Limited Access
9412,Good,High,Full Access,4G,Full Access
9413,Good,High,Full Access,4G,Limited Access
9414,Poor,Moderate,Full Access,3G,Full Access
9415,Good,Limited,No Access,2G,Full Access
9416,Excellent,High,No Access,4G,No Access
9417,Fair,High,Partial Access,2G,Limited Access
9418,Poor,Moderate,No Access,5G,Full Access
9419,Poor,Moderate,Full Access,5G,No Access
9420,Good,Moderate,Full Access,4G,Limited Access
9421,Fair,Moderate,No Access,4G,No Access
9422,Excellent,High,Full Access,3G,Limited Access
9423,Poor,High,No Access,4G,Limited Access
9424,Good,Moderate,Partial Access,5G,Full Access
9425,Good,High,No Access,3G,Full Access
9426,Excellent,Moderate,Full Access,4G,Full Access
9427,Fair,Moderate,Partial Access,3G,No Access
9428,Good,High,Full Access,4G,Limited Access
9429,Good,Moderate,Partial Access,5G,Full Access
9430,Excellent,High,Full Access,5G,Limited Access
9431,Excellent,High,Full Access,4G,Full Access
9432,Fair,High,Partial Access,2G,Full Access
9433,Excellent,High,Full Access,2G,No Access
9434,Fair,Limited,Full Access,5G,Full Access
9435,Poor,Moderate,No Access,5G,No Access
9436,Good,Limited,Partial Access,4G,No Access
9437,Poor,Limited,Full Access,5G,No Access
9438,Fair,Limited,Full Access,2G,Full Access
9439,Poor,Limited,Full Access,2G,No Access
9440,Excellent,Limited,Full Access,5G,No Access
9441,Fair,High,No Access,4G,Limited Access
9442,Excellent,Limited,No Access,4G,Full Access
9443,Excellent,High,Full Access,3G,No Access
9444,Fair,Moderate,Full Access,3G,Limited Access
9445,Poor,Moderate,No Access,5G,Limited Access
9446,Excellent,Limited,No Access,2G,Full Access
9447,Fair,High,No Access,2G,Full Access
9448,Fair,Limited,Full Access,4G,Limited Access
9449,Fair,Limited,No Access,2G,No Access
9450,Good,Limited,Partial Access,4G,Full Access
9451,Excellent,High,Partial Access,4G,Full Access
9452,Fair,Moderate,Full Access,2G,Full Access
9453,Excellent,High,Full Access,2G,Limited Access
9454,Good,Limited,Full Access,4G,No Access
9455,Excellent,Limited,Full Access,2G,Full Access
9456,Poor,Limited,No Access,5G,Limited Access
9457,Poor,Limited,No Access,5G,No Access
9458,Poor,Limited,Full Access,4G,Limited Access
9459,Good,Limited,No Access,5G,Limited Access
9460,Poor,Limited,Full Access,5G,Limited Access
9461,Fair,Limited,No Access,2G,Limited Access
9462,Good,High,No Access,3G,Full Access
9463,Fair,Limited,No Access,3G,Full Access
9464,Poor,Moderate,Partial Access,4G,Limited Access
9465,Excellent,High,No Access,5G,Full Access
9466,Fair,Limited,Full Access,5G,Limited Access
9467,Fair,High,Full Access,5G,Full Access
9468,Fair,Moderate,Full Access,3G,No Access
9469,Good,Moderate,Partial Access,5G,Limited Access
9470,Excellent,Limited,Partial Access,2G,Full Access
9471,Fair,Limited,Full Access,2G,Limited Access
9472,Poor,Limited,Partial Access,2G,No Access
9473,Fair,Limited,Partial Access,5G,Limited Access
9474,Good,High,No Access,3G,Limited Access
9475,Fair,Limited,Full Access,3G,Full Access
9476,Fair,High,No Access,3G,No Access
9477,Good,Limited,No Access,5G,No Access
9478,Excellent,High,Partial Access,3G,Full Access
9479,Poor,Moderate,No Access,4G,Limited Access
9480,Fair,High,No Access,3G,No Access
9481,Poor,Moderate,No Access,5G,Full Access
9482,Good,High,Full Access,5G,No Access
9483,Excellent,Limited,No Access,3G,Full Access
9484,Good,Limited,Partial Access,2G,Full Access
9485,Fair,Limited,No Access,5G,Limited Access
9486,Poor,Limited,Partial Access,2G,No Access
9487,Fair,Moderate,Full Access,2G,Limited Access
9488,Excellent,Moderate,No Access,3G,Limited Access
9489,Poor,Limited,Full Access,2G,No Access
9490,Excellent,Limited,Full Access,5G,Limited Access
9491,Fair,Limited,Partial Access,5G,No Access
9492,Excellent,High,No Access,2G,No Access
9493,Fair,Limited,Partial Access,3G,Full Access
9494,Excellent,Moderate,No Access,3G,No Access
9495,Poor,Moderate,No Access,3G,Full Access
9496,Fair,Moderate,Partial Access,3G,Limited Access
9497,Good,High,Partial Access,2G,Limited Access
9498,Good,Limited,No Access,5G,Full Access
9499,Excellent,Limited,Partial Access,4G,Full Access
9500,Good,High,Partial Access,4G,Full Access
9501,Good,Moderate,Full Access,5G,Full Access
9502,Fair,Limited,Partial Access,4G,Full Access
9503,Poor,Moderate,Partial Access,2G,No Access
9504,Poor,High,No Access,5G,Limited Access
9505,Excellent,Limited,No Access,2G,No Access
9506,Excellent,Limited,Partial Access,4G,No Access
9507,Poor,High,Full Access,2G,Limited Access
9508,Excellent,Limited,Full Access,3G,No Access
9509,Poor,Moderate,Full Access,2G,No Access
9510,Poor,Limited,No Access,5G,Full Access
9511,Excellent,High,No Access,2G,Limited Access
9512,Poor,Moderate,Partial Access,4G,Limited Access
9513,Excellent,Moderate,No Access,5G,Limited Access
9514,Excellent,Moderate,Partial Access,2G,Limited Access
9515,Good,Limited,Partial Access,2G,No Access
9516,Good,Moderate,No Access,2G,Limited Access
9517,Fair,Limited,No Access,4G,No Access
9518,Good,Limited,Partial Access,5G,Full Access
9519,Fair,Moderate,Full Access,3G,Full Access
9520,Good,Limited,Full Access,4G,Limited Access
9521,Good,Moderate,Partial Access,4G,Full Access
9522,Excellent,High,Full Access,2G,Full Access
9523,Poor,Moderate,Full Access,2G,Full Access
9524,Excellent,Limited,Partial Access,2G,No Access
9525,Poor,Moderate,Full Access,3G,No Access
9526,Good,Moderate,No Access,5G,Full Access
9527,Excellent,Limited,No Access,3G,Full Access
9528,Fair,Limited,Partial Access,2G,Limited Access
9529,Fair,Limited,Full Access,3G,Limited Access
9530,Excellent,High,No Access,2G,Limited Access
